date,mood
2025/5/6,0.000727
2025/5/7,0.000322
2025/5/8,0.000336
2025/5/9,0.000101
2025/5/12,0.000107
2025/5/13,0.000123
2025/5/14,0.000199
2025/5/15,0.000307
2025/5/16,-0.000061
2025/5/19,-0.000256
2025/5/20,-0.000222
2025/5/21,-0.000223
2025/5/22,-0.000169
2025/5/23,-0.000287
2025/5/26,-0.000216
2025/5/27,-0.000045
2025/5/28,0.000153
2025/5/29,0.000193
2025/5/30,-0.000062
